Symbol,Last Known Close,Sentiment Score,Estimated Close,Stock Direction,Confidence
JPM,123.61,3.0,122.93577028530717,↓,0.028616118678704082
JNPR,34.0,12.0,33.97331491703653,↓,0.010786662550381312
K,68.65,3.0,68.51642821198038,↓,0.6169918837100772
KEY,20.13,3.0,20.045275090892517,↓,0.03605313774486578
KEYS,143.48,14.0,280.17344306771156,↑,0.0036583236763670255
KMB,140.42,7.0,195.15366129655376,↑,0.002832245016587543
KIM,25.32,5.0,25.24552092431759,↓,0.7497866552440392
KMI,18.525,16.0,19.393510727384637,↑,0.011957839673775587
KLAC,320.075,5.0,321.95369894776377,↑,0.032074099234359006
KHC,42.605,10.0,42.478039021942095,↓,0.8993372932691388
KR,55.725,11.0,55.63482366669632,↓,0.08985980549020788
LHX,242.515,5.0,241.71872107866147,↓,0.02196383747566711
LH,253.65,11.0,379.65257279620437,↑,0.001946630450456186
LRCX,466.36,5.0,461.643968122376,↓,0.1233367919825639
LW,67.17,13.0,66.69604933612936,↓,0.5897579927798162
LVS,34.84,7.0,34.524884491656394,↓,0.03808421084868666
LEG,36.8,7.0,36.960078915938766,↑,0.15976415439563588
LDOS,107.23,9.0,106.90547813984631,↓,0.2751757366247221
LEN,78.47,8.0,78.55252252975629,↑,0.0963759300049726
LNC,61.86,10.0,64.58488352237237,↑,0.008955542703357402
LIN,305.6,11.0,300.8066591470779,↓,0.029532090198343415
LYV,108.37,10.0,107.5773823188224,↓,0.2517733590533455
LKQ,49.16,12.0,49.27323915994657,↑,0.23889724238934495
LMT,447.23,7.0,444.5747508223758,↓,0.20427555101384234
L,64.02,5.0,63.5988794896316,↓,0.06769705425440804
LOW,201.56,9.0,211.95309491828084,↑,0.040193537751935744
LUMN,10.825,12.0,10.80197629387439,↓,0.04340599772338325
LYB,104.79,8.0,103.98415066503003,↓,0.12018080351003434
MTB,170.54,10.0,171.78233140352495,↑,0.15041487269976958
MRO,24.245,13.0,24.9919550306131,↑,0.04250542583706872
MPC,86.37,12.0,85.71946721813765,↓,0.4285655597799982
MKTX,263.81,5.0,263.52213348542455,↓,0.17605311845088467
MAR,177.83,5.0,175.79491098597828,↓,0.4974592666864699
MMC,169.85,10.0,168.60935250590774,↓,0.39088853706290344
MLM,352.67,1.0,342.2375664073452,↓,0.021335380387005068
MAS,53.08,4.0,52.99781226636014,↓,0.017340649021207043
MA,347.02,8.0,341.467401422462,↓,0.08115274796792557
MTCH,81.15,6.0,84.76099533265187,↑,0.01543432956533432
MKC,101.245,14.0,100.89022328838473,↓,0.290428166341045
MCD,249.35,0.0,247.61593843168157,↓,0.2522430732361318
MCK,318.81,12.0,317.11938830000327,↓,0.3965652037746269
MDT,107.745,6.0,107.97391514001538,↑,0.022505707539696936
MRK,84.76,12.0,84.54660868961037,↓,0.23491335133632815
MET,67.1,9.0,79.97693054817819,↑,0.0030772853181586647
MTD,1266.88,15.0,2393.0849960498635,↑,0.00241906440775255
MGM,40.52,9.0,40.17926936122808,↓,0.1388678187397722
MCHP,66.09,7.0,70.00139047875905,↑,0.027483029380028213
MU,68.2,3.0,67.84927364057467,↓,0.03715005647301497
MSFT,273.86,-6.0,304.11168391610227,↑,0.0058097270203633245
MAA,204.46,9.0,203.74712305473622,↓,0.09291874822297923
MRNA,148.35,10.0,154.04360182628216,↑,0.05937892690462985
MHK,126.715,3.0,119.4716464109415,↓,0.04580589966282111
TAP,54.455,3.0,54.046117709803184,↓,0.5238629887770692
MDLZ,64.665,17.0,64.35829811360463,↓,0.3957893140492866
MPWR,402.37,12.0,403.9420020450907,↑,0.038755532569047305
MNST,86.765,7.0,87.22539630532265,↑,0.22031754213309795
MCO,320.395,2.0,312.1167330816388,↓,0.05117877056770665
MS,83.19,5.0,87.28544715772841,↑,0.016631539900159156
MSI,223.425,13.0,228.14287762820595,↑,0.023336217729708137
MSCI,437.23,9.0,672.8554857695995,↑,0.0027572519969485806
NDAQ,163.71,12.0,269.49276681323227,↑,0.0018921610876799055
NTAP,76.08,3.0,74.67565296687576,↓,0.04030370120153838
NFLX,202.87,-2.0,165.41125817110697,↓,0.017097965386806958
NWL,22.9382,7.0,23.03347545637871,↑,0.2423023304386866
NEM,72.525,0.0,94.97583071887493,↑,0.003528660886166557
NEE,73.885,6.0,87.53469292088175,↑,0.0033813030538201957
NLSN,26.5,3.0,25.470242453549872,↓,0.199661139222957
NKE,121.58,4.0,117.51197292282609,↓,0.014621972563406086
NI,30.38,6.0,31.676727199524976,↑,0.013324443496891826
NSC,257.9,13.0,285.7501431482724,↑,0.008629367987232054
NTRS,108.38,6.0,107.31831568605048,↓,0.06627983594733161
NOC,445.26,6.0,442.3674674659778,↓,0.08493499750021145
NLOK,25.47,1.0,24.46023470337525,↓,0.022031003342740926
NCLH,19.97,10.0,19.64154266551003,↓,0.038649040013459444
NRG,37.575,11.0,39.65221777185661,↑,0.007528731349564358
NUE,158.085,9.0,155.66712118596752,↓,0.3181647522662592
NVDA,190.96,-2.0,180.82896560202448,↓,0.01532363868885948
NVR,4445.5,4.0,4220.073614519148,↓,0.04659800230966245
NXPI,169.55,9.0,189.50791995332156,↑,0.020181758348948742
ORLY,721.035,12.0,718.7707830559957,↓,0.8335852990602093
OXY,55.06,13.0,56.354059840683476,↑,0.07468050649636668
ODFL,275.96,15.0,294.8833004664666,↑,0.02041701244596032
OMC,79.005,7.0,78.46511496135645,↓,0.33268022206736236
OKE,65.61,9.0,84.42452327283127,↑,0.002868194463262218
ORCL,75.46,13.0,82.7311953086919,↑,0.00625073208242062
OTIS,72.96,11.0,83.35979652457581,↑,0.007055690976846193
PCAR,84.0063,11.0,87.96934476901697,↑,0.018263051182004733
PKG,160.25,17.0,159.74197566643124,↓,0.302369370050196
PH,274.45,11.0,301.3947179938805,↑,0.01467198661927354
PAYX,130.46,7.0,134.22246532070494,↑,0.021471437442476208
PAYC,289.05,8.0,395.40846181601046,↑,0.004403304411742885
PYPL,85.48,4.0,92.67668381125475,↑,0.0216277225543239
PENN,37.255,14.0,55.664241593122426,↑,0.0068573623013991405
PNR,52.415,9.0,61.18634066145893,↑,0.018205875654158828
PEP,174.36,1.0,174.20944880178286,↓,0.35877671440527675
PKI,143.97,11.0,271.62969848890316,↑,0.0017573334994679865
PFE,49.265,12.0,49.69647959780002,↑,0.026406975060811716
PM,103.22,13.0,102.72379146457752,↓,0.46853716996209127
PSX,82.705,6.0,81.24958550930023,↓,0.12381189914145263
PNW,75.75,10.0,75.73090464489178,↓,0.058203278135308935
PXD,230.96,12.0,255.2461580983072,↑,0.01402836560615316
PNC,170.89,0.0,167.120330900495,↓,0.01410112711767538
POOL,422.3,16.0,599.7867255307247,↑,0.006378753761108608
PPG,127.22,9.0,126.57836514152405,↓,0.09991302579266934
PPL,29.36,8.0,29.18351104326962,↓,0.5649695571640946
PFG,70.54,10.0,70.54430529261163,↑,0.012138998823589877
PG,160.61,-1.0,160.29226393333192,↓,0.26073730543027895
PGR,109.235,6.0,107.99705584667572,↓,0.027469233345280314
PLD,166.35,13.0,165.49247570993248,↓,0.5909182586946405
PRU,111.23,4.0,128.60902244801855,↑,0.0034601189248817704
PTC,98.76,14.0,150.15613288540044,↑,0.00354123270809813
PEG,71.53,5.0,71.1801326361383,↓,0.10430830076950605
PSA,395.74,9.0,398.495280257117,↑,0.055635599669734595
PHM,43.35,12.0,43.67515662546816,↑,0.0820169218660062
PVH,73.36,5.0,70.62931535929738,↓,0.06936831226169013
QRVO,111.34,5.0,118.00800033362839,↑,0.03226051830244042
