,Symbol,Last Known Close,Sentiment Score,Estimated Close,Stock Direction,Confidence,True Close,True Stock Direction,True Stock Direction (For Analysis)
150,DOW,67.7801,14.0,67.5199993455617,↓,0.23651777100554194,68.04000091552734,↑,1
151,DTE,135.11,9.0,135.05604683561887,↓,0.19831013261653926,135.4199981689453,↑,1
152,DUK,114.77,8.0,114.2500279877804,↓,0.9344723915836108,114.19000244140625,↓,0
153,DRE,58.94,15.0,58.65753546088808,↓,0.22414981698218064,60.025001525878906,↑,1
154,DD,66.741,9.0,83.17680974718678,↑,0.005771424770908012,66.94000244140625,↑,1
155,DXC,29.61,11.0,36.04676998869087,↑,0.007653082918290423,29.059999465942383,↓,0
156,EMN,104.51,10.0,133.6625786256327,↑,0.0038494374193310493,105.80000305175781,↑,1
157,ETN,145.08,9.0,144.9440336357402,↓,0.2121289333757215,146.2899932861328,↑,1
158,EBAY,53.87,2.0,53.931384627988685,↑,0.06916705806443033,52.709999084472656,↓,0
159,ECL,170.68,8.0,170.8526091647736,↑,0.04707823067234557,172.0,↑,1
160,EIX,70.43,12.0,70.75339226465348,↑,0.12089244691318207,70.72000122070312,↑,1
161,EW,117.38,11.0,115.78195956792023,↓,0.05242774660082452,110.68000030517578,↓,0
162,EA,125.91,15.0,126.7092117245245,↑,0.06952404961341656,123.16999816894531,↓,0
163,LLY,284.37,5.0,282.33620142936707,↓,0.048931298008041885,286.6449890136719,↑,1
164,EMR,90.55,8.0,109.81428301574192,↑,0.0013980302190553329,91.125,↑,1
165,ENPH,155.98,9.0,164.59715590297674,↑,0.007861383162739127,167.4499969482422,↑,1
166,ETR,121.48,7.0,121.21806317493248,↓,0.15501089339488652,121.41000366210938,↓,0
167,EOG,112.446,16.0,119.45918928254468,↑,0.010659434732818766,113.30000305175781,↑,1
168,EFX,210.07,11.0,249.11503958314825,↑,0.016096401039695115,201.71499633789062,↓,0
169,EQIX,745.0,13.0,740.9061762609634,↓,0.4399467867510231,724.8200073242188,↓,0
170,EQR,89.35,11.0,89.33983989799982,↓,0.03962227934165999,87.06999969482422,↓,0
171,ESS,344.61,13.0,343.4149541403276,↓,0.1686983591162457,346.7099914550781,↑,1
172,EL,257.95,10.0,313.67056578219484,↑,0.012167535915177578,261.9800109863281,↑,1
173,ETSY,101.675,5.0,107.28592800317551,↑,0.05629782406714589,99.4000015258789,↓,0
174,RE,280.765,8.0,287.2635069787503,↑,0.006386675083065434,285.6400146484375,↑,1
175,EVRG,69.69,11.0,69.71798675441187,↑,0.1460979945577394,69.37999725341797,↓,0
176,ES,90.16,7.0,91.12810773823458,↑,0.054395580526380334,90.25,↑,1
177,EXC,48.665,14.0,48.366562150032685,↓,0.379967832305901,48.40999984741211,↓,0
178,EXPE,180.67,-6.0,184.326060052892,↑,0.02877348623887968,185.3350067138672,↑,1
179,EXPD,99.51,11.0,108.52855980580307,↑,0.02492265777367533,100.94000244140625,↑,1
180,EXR,206.14,11.0,204.0011824056601,↓,0.03008966419106853,206.30999755859375,↑,1
181,XOM,82.85,3.0,82.39480442364402,↓,0.05540802588155111,85.2699966430664,↑,1
182,FFIV,197.43,-2.0,193.37471382091823,↓,0.020751911866259742,170.27999877929688,↓,0
183,FB,184.41,-2.0,185.1785548988271,↑,0.009725819515688627,173.00999450683594,↓,0
184,FAST,56.55,17.0,56.19957467970585,↓,0.13820827588845208,56.20000076293945,↓,0
185,FRT,119.99,11.0,123.03780427866946,↑,0.023208260439925858,120.16999816894531,↑,1
186,FDX,202.17,12.0,282.672200728035,↑,0.006046395880795635,200.1699981689453,↓,0
187,FIS,96.315,12.0,97.16532095145429,↑,0.019907760411100026,98.81999969482422,↑,1
188,FITB,38.135,12.0,58.76260590377024,↑,0.003754564874634456,38.43000030517578,↑,1
189,FRC,152.83,11.0,230.41501348658767,↑,0.00427243427182299,152.8249969482422,↓,0
190,FE,45.15,5.0,47.139876371485116,↑,0.01354828479963348,45.06999969482422,↓,0
191,FISV,96.66,10.0,98.09387686916556,↑,0.01356868427449673,101.55000305175781,↑,1
192,FLT,249.485,11.0,251.12610625784146,↑,0.06921924325595068,251.83999633789062,↑,1
193,FMC,131.34,11.0,134.5528873485655,↑,0.05075034881837714,133.1750030517578,↑,1
194,F,14.845,0.0,14.341332971044311,↓,0.013337059616489072,14.914999961853027,↑,1
195,FTNT,312.33,10.0,305.7922649770608,↓,0.029597786551468493,305.20001220703125,↓,0
196,FTV,57.365,8.0,61.90332245361884,↑,0.020791620215808288,57.95000076293945,↑,1
197,FBHS,73.07,5.0,68.97908926083187,↓,0.06659792042621883,73.73999786376953,↑,1
198,FOXA,37.385,7.0,39.363462124327505,↑,0.007419791430705458,36.54999923706055,↓,0
199,FOX,34.7,9.0,37.496830391676674,↑,0.006716299552737747,33.93000030517578,↓,0
200,BEN,26.01,5.0,25.743286174041945,↓,0.12931320844510655,25.809999465942383,↓,0
201,FCX,40.245,2.0,88.86186892032492,↑,0.0010278068905151302,42.20000076293945,↑,1
202,GPS,12.505,-14.0,22.194395857474124,↑,0.0014006136381464706,12.694999694824219,↑,1
203,GRMN,111.26,10.0,117.80318071010606,↑,0.026229376154198698,109.48500061035156,↓,0
204,IT,291.165,3.0,286.88782996046575,↓,0.14397983716809554,291.7049865722656,↑,1
205,GNRC,232.96,13.0,509.1100068616822,↑,0.002138588096603167,235.1300048828125,↑,1
206,GD,239.26,2.0,236.8436720610971,↓,0.1231179886224034,241.5,↑,1
207,GE,80.4313,-13.0,199.08044217059887,↑,0.0003711648643128022,79.7699966430664,↓,0
208,GIS,71.52,0.0,71.31248923528528,↓,0.39525254309546654,71.66999816894531,↑,1
209,GM,38.4599,8.0,54.745366022355135,↑,0.010071121365439296,39.0,↑,1
210,GPC,134.87,14.0,133.78617967665195,↓,0.27368162920673833,135.46890258789062,↑,1
211,GILD,62.185,11.0,61.845483611471536,↓,0.3032499097401429,61.95000076293945,↓,0
212,GPN,132.485,10.0,132.81915338563567,↑,0.01128835431126192,136.73500061035156,↑,1
213,GS,315.4375,-1.0,309.2076776597896,↓,0.01220141886455926,316.1499938964844,↑,1
214,HAL,35.275,8.0,41.47183598312199,↑,0.015060492941932326,36.209999084472656,↑,1
215,HBI,13.645,5.0,14.391078615359733,↑,0.009494264997001041,13.649999618530273,↑,1
216,HAS,88.98,7.0,90.85835248231888,↑,0.03448015370570031,91.30000305175781,↑,1
217,HCA,218.86,-10.0,504.3443877703685,↑,0.0005017102152225369,214.27999877929688,↓,0
218,PEAK,34.32,4.0,33.91220973433519,↓,0.15343672506881334,34.09000015258789,↓,0
219,HSIC,86.2415,17.0,88.94756590911855,↑,0.013753909552808613,84.81500244140625,↓,0
220,HES,101.8,12.0,119.46874472498894,↑,0.012274255737463385,103.7300033569336,↑,1
221,HPE,15.36,5.0,15.990580728111468,↑,0.005934253550834706,15.369999885559082,↑,1
222,HLT,152.62,10.0,151.19962055358886,↓,0.41348931850563225,157.08999633789062,↑,1
223,HOLX,70.995,14.0,94.32001472744423,↑,0.0010722867120839627,71.13999938964844,↑,1
224,HD,302.885,5.0,299.27220089815546,↓,0.0887939338056565,304.05999755859375,↑,1
225,HON,188.895,6.0,186.46919830765407,↓,0.11896836250540653,187.5399932861328,↓,0
226,HRL,52.71,11.0,52.567474991083145,↓,0.1983596170866301,53.28499984741211,↑,1
227,HST,20.595,11.0,20.66716194764922,↑,0.17947280563856927,21.2549991607666,↑,1
228,HWM,34.615,9.0,34.221916996563785,↓,0.11536663786308216,34.29159927368164,↓,0
229,HPQ,36.635,6.0,36.45030474306418,↓,0.016228396702920818,36.790000915527344,↑,1
230,HUM,434.075,7.0,446.72885285964,↑,0.026500084955195083,445.25,↑,1
231,HBAN,13.71,10.0,14.765319030688175,↑,0.029494563621483613,13.645000457763672,↓,0
232,HII,220.03,7.0,219.20954470496508,↓,0.8547716318719477,221.66000366210938,↑,1
233,IBM,137.08,12.0,144.52131312014944,↑,0.018061512672048308,135.93870544433594,↓,0
