country,Name,Symbol,Sentiments,marketcap,"Stock Price (6wk ago),","Stock Price (5wk ago),","Stock Price (4wk ago),","Stock Price (3wk ago),","Stock Price (2wk ago),","Stock Price (1wk ago),","Stock Price (0wk ago),"
United States,Tesla,TSLA,"['Influencers with Andy Serwer: Barbara Corcoran', 'In this episode of Influencers, Andy is joined by\xa0The Corcoran Group Founder & ‘Shark Tank’ Star, Barbara Corcoran, as they discuss the country’s hottest real estate markets, Barbara’s ‘Shark Tank’ investing strategy, and why she thinks the metaverse could be ‘the best thing that ever happened to retail’.', ""Rep. Stewart talks Elon Musk's business ties in China, inflation, and energy outlook"", ""Rep. Chris Stewart joins Yahoo Finance Live to discuss the need for oversight for Elon Musk's companies, Tesla and SpaceX, in China, inflation, and pairing renewable energy with fossil fuels."", ""Elon Musk's Tesla Returns to The $1 Trillion Club"", 'The good news is piling up for Tesla  and its charismatic chief executive, Elon Musk.  The group has also officially opened its giant European factory near Berlin, where its production capacity should reach 500,000 vehicles a year.  Indeed, Tesla is expected to open its second vehicle production gigafactory in the U.S. in April.', 'US STOCKS-Wall St set to rebound, investors watch NATO summit', 'U.S. stock indexes were set to rebound on Thursday from a sharp fall in the previous session, with investors closely tracking a meeting of Western leaders as the Ukraine crisis enters its second month.  U.S. President Joe Biden will meet European allies at a special NATO summit on Thursday amid a dispute over whether to impose further energy sanctions on Russia over its invasion of Ukraine.  While Wall Street indexes ended down on Wednesday, they have climbed in five of the past seven sessions as investors snapped up beaten-down technology stocks and oil prices eased from multi-year highs on hopes for progress in the Ukraine peace talks.', ""Tesla's Berlin Gigafactory Debuts German-Made Model Y"", ""Tesla's (TSLA) European footprint may skyrocket when Giga Berlin hits full capacity of 500,000 electric vehicles per year."", '1 Sign Tesla Might Crush Its Guidance This Year', 'Tesla management guided for deliveries to grow around 50% this year. But what if actual growth was well beyond this?', 'Tesla, 2 More Car Makers Each Lead Industry in R&D Spending. Why the Numbers Make Sense.', ""Elon Musk's company spends the most on research and development per car produced. But there are other ways to look at the numbers."", ""Dow Jones Futures Rise After Stock Market Rally Retreat; 'Monster' Apple In Buy Area"", 'The major indexes fell solidly Wednesday, but that could be healthy. Apple stock rose in a buy area.', '3 No-Brainer Stocks to Buy With $1,000 Right Now', ""Airbnb's (NASDAQ: ABNB) share price has been all over the place recently.  Sure, you can rent vacation homes via a number of websites, but Airbnb features an easy-to-use platform, a huge selection (4 million hosts!), and offers users the opportunity to book unique experiences at their destinations as well.  In 2021, Airbnb's revenue increased 25% compared to 2019 (I'm skipping over 2020 because so much travel was essentially shut down due to the pandemic) and Airbnb's gross booking value jumped 23% over the same period."", 'Are Electric Vehicle Stocks Overhyped?', ""The question of whether electric vehicle (EV) stocks are overhyped is a legitimate one.  One only has to look at the performance of a stock like Tesla (NASDAQ: TSLA) over the last several years to see why it's worth researching whether to invest in the sector.  Tesla shares have soared 1,800% over the past three years.""]",911205269504,932.0,923.3900146484375,764.0399780273438,879.8900146484375,858.969970703125,840.22998046875,999.1099853515625
Japan,Toyota,TM,"[""Tesla's Berlin Gigafactory Debuts German-Made Model Y"", ""Tesla's (TSLA) European footprint may skyrocket when Giga Berlin hits full capacity of 500,000 electric vehicles per year."", 'Toyota, Boom Supersonic execs outline paths ahead at Greensboro Chamber celebration (PHOTOS)', 'In addition to celebrating decisions by Toyota and Boom Supersonic to locate thousands of jobs in the Triad, the Greensboro Chamber announces its major award winners.', 'Aurora debuts its first ride-hailing fleet of Toyota Sienna vans, begins testing in Texas', ""The deployment of the ride-hailing vehicles marks the latest milestone in the year-long partnership between Pittsburgh-based Aurora and the nation's largest automaker by total vehicles sold, Toyota."", 'ChargePoint (CHPT)-Toyota Collaborate to Ramp Up EV Charging', 'ChargePoint (CHPT) signs a deal with Toyota North America to provide convenient charging option for its soon-to-be-launched electric SUV bZ4X.', 'Trigon Metals Advances Exploration With Encouraging Results of Geophysical IP Survey of Its High Potential Silver Hill Project, Morocco', 'TORONTO, March 23, 2022--Trigon Metals Inc. (TSX-V: TM) (""Trigon"" or the ""Company"") announces that it has completed an IP survey (induced polarization survey) of its Silver Hill project in Morocco (the ""Project"").', 'Toyota (TM), ChargePoint Team Up for Multi-Pronged EV Charging', ""Toyota (TM) ties up with ChargePoint to work on home and public charging for Toyota's all-new 2023 bZ4X battery-electric SUV."", 'Toyota, Aurora test-drive autonomous ride-hailing fleet in Texas', ""Japan's Toyota Motor and Aurora Innovation Inc, a U.S. developer of automated driving systems, have started testing autonomous ride-hailing fleet in Texas, with two safety operators and no passenger on board, Aurora said on Tuesday.  Toyota's Sienna minivans, retrofitted with Aurora's self-driving system, will be tested on highways and suburban streets in the Dallas-Fort-Worth area, with the operation including trips enroute to an airport.  Autonomous vehicle startups are under pressure to generate meaningful revenue from billions of dollars of engineering investment, but scaling up the fleet is a challenge as technological hurdles remain."", 'C-Suite Rides: Toyota, with its best-selling Camry, and Mazda, haven’t given up on sedans (PHOTOS)', 'Unlike most American manufacturers, Asian automakers haven’t given up on making traditional four-door sedans.', ""Drifting in a Mall? Toyota's Pitch Part II Takes Another Turn at Car Ads"", 'What if car commercials were just as exciting as the cars themselves? Toyota takes aim at that question in the latest installment of its ""Pitch"" series with ""The Focus Group."" In this round, Toyota Gazoo North America Racing (TGR-NA) team drivers make precision maneuvers in race modified cars and a GR86 inside and around an abandoned shopping mall. But, as the suits step in and ask for a more subdued approach, the focus group quickly loses interest, and the drivers, they just keep being themselv', 'Toyota Partners with ChargePoint for EV Charging', 'By Sam Boughedda']",274258280448,201.3699951171875,190.3000030517578,183.83999633789062,179.14999389648438,164.0500030517578,171.88999938964844,175.77999877929688
Germany,Volkswagen,VOW3.DE,"['U.S. companies pull back from business dealings in Russia', ""Yahoo Finance's Julie Hyman and Brian Sozzi discuss the list of American companies that are reducing their exposure to Russia amid the invasion of Ukraine."", 'Burnt-Out Ship Carrying Porsches and Lamborghinis Sinks in Rough Seas', '(Bloomberg) -- The cargo ship that caught fire in the Atlantic while transporting roughly 4,000 Volkswagen AG vehicles to the U.S. has sunk despite efforts to tow it to safety.Most Read from BloombergTeen Who Tracked Elon Musk’s Jet Is Now Chasing Russian TycoonsRussia Steps Up Aerial Campaign Against Cities: Ukraine UpdateChina Spy Think Tank Advising Xi Predicts Russia Sanctions Will BackfireMicrosoft Says Son of CEO Satya Nadella Has Died at 26Belarus Preparing to Send Soldiers, Report Says:', 'Carmakers hit the brakes on Russia as sanctions bite', 'Global auto and truck makers have joined a growing list of companies looking to exit Russia as international sanctions aimed at crippling Moscow’s economy start to bite.', 'Volkswagen warns of production cuts as Ukraine crisis hits suppliers', ""Europe's largest carmaker Volkswagen on Tuesday warned of production cuts at some of its plants including the one in Wolfsburg as Ukraine-based suppliers have been facing difficulties delivering after Russia's invasion.  The company said it would likely be unable to produce at its Wolfsburg plant in the week of March 14 as a result, adding the factory would already produce less from the week of March 6.  The group also said it had temporarily halted production of Volkswagen brand electric vehicles at its Zwickau and Dresden plants this week and could not rule out further production adjustments."", ""Volkswagen's Skoda limits some output due to Ukraine, production in Russia still running"", 'Czech carmaker Skoda Auto, part of Volkswagen, will limit some production at its domestic plants due to supply shortages after Russia\'s invasion of Ukraine, while it said its Russian operations were still running.  ""Due to the current situation in Ukraine, Skoda Auto is facing critical supply shortages of parts from several local suppliers that have effect on some of our models,"" it said.  Skoda said its supply chain consisted of a number of suppliers in western Ukraine.', '4 Supercharged Electric Vehicle Stocks to Buy in 2022 and Beyond', 'Electrification of transport is an unstoppable trend.  President Joe Biden wants to make 50% of all vehicle sales to be electric by 2030.  Top automakers have also announced intentions to increase their electric vehicle (EV) sales in sync with this target.', 'VW Keeps Porsche IPO on Table Amid Market Volatility', '(Bloomberg) -- Volkswagen AG said it will continue to explore an initial public offering of the German manufacturer’s Porsche sportscar brand as markets are roiled by Russia’s invasion of Ukraine.Most Read from BloombergTaiwan to Join in U.S.-Led Sanctions on Russia: Ukraine UpdateRussia Invasion of Ukraine Ignites European Security CrisisRussia Hits Airfields; Kyiv Imposes Martial Law: Ukraine UpdateKyiv Accuses Russia of Targeting Civilians: Ukraine UpdateStocks Rise as Oil Pares Gain After Bi', 'UK car production plummets to 13-year low in January', 'Car production sank to its lowest January in a decade as the semiconductor shortage continued to cause disruption.', 'Porsche could IPO in fourth quarter, Volkswagen CFO says', 'FRANKFURT (Reuters) -Porsche\'s potential initial public offering (IPO) could happen as soon as the fourth quarter of 2022, the finance chief of the luxury carmaker\'s owner Volkswagen said on Friday, providing further details of what could become a record listing.  Volkswagen\'s rationale for the IPO partly rests on hopes that it will remove some of the carmaker\'s conglomerate discount and raise its shares, which have underperformed the European sector over the past 12 months.  ""There is no guarantee the market value of (Porsche) will translate into the VW share price unless VW addresses more structural issues of brand/product complexity,"" analysts at Jefferies wrote.', 'Volkswagen, top shareholder strike framework deal for Porsche IPO', ""FRANKFURT (Reuters) -Volkswagen and its top shareholder Porsche SE on Thursday fleshed out details of a possible listing of luxury carmaker Porsche, edging closer to what could become one of the world's largest stock market debuts.  In case of an initial public offering, the share capital of Porsche AG would be equally split into preferred and ordinary shares and up to a quarter of the preferred stock would be placed on the market, Volkswagen said, confirming an earlier Reuters story.  This implies a potential placement and free float of up to 12.5% of Porsche AG's total share capital, or more than 10 billion euros ($11.2 billion) when using a valuation of around 90 billion.""]",124395549741,187.25999450683594,186.02000427246094,187.0800018310547,160.0,150.32000732421875,155.63999938964844,152.66000366210938
China,BYD,002594.SZ,No data!,107779133682,245.17999267578125,240.60000610351562,252.0,248.60000610351562,223.58999633789062,229.42999267578125,247.1699981689453
Germany,Daimler,DAI.DE,No data!,85824249620,70.54000091552734,75.81999969482422,73.56999969482422,64.05999755859375,61.36000061035156,65.26000213623047,63.31999969482422
United States,General Motors,GM,"['General Motors Names Henniges Automotive a 2021 Supplier of the Year', 'General Motors recognized Henniges Automotive as a 2021 Supplier of the Year. GM celebrated honorees at its 30th annual Supplier of the Year awards ceremony in Phoenix, Arizona, last week.', 'General Motors Company (GM) Dips More Than Broader Markets: What You Should Know', 'General Motors Company (GM) closed the most recent trading day at $43.78, moving -1.75% from the previous trading session.', ""GM Is Doubling Down on Cruise's Autonomous Future"", ""General Motors is buying out SoftBank's stake in Cruise, which could be a big win for investors long-term."", 'The Zacks Analyst Blog Highlights Ford, General Motors, Honda and Tesla', 'Ford, General Motors, Honda and Tesla have been included in this Analyst Blog.', 'Why Are Tesla, Volkswagen And Nio Scrambling For Graphite?', 'The electric vehicle boom is well underway, and one crucial material could surge by as much as 4000% as demand continues to climb', 'A GM-backed electric vehicle startup is opening an office in Palo Alto', 'CEO Travis Katz has been running the business from the Bay Area since 2020. But until now its main offices have been in Detroit and Atlanta.', 'Maserati exec: ‘We’ve made dual investments’ in electric and gas-powered vehicles', 'Maserati Americas Head Bill Peffer joins Yahoo Finance Live to discuss the latest Maserati Grecale mid-size SUV, EV product development, and supply chain forecasts.', 'Why General Motors tapped Spring Hill to make its all-electric Cadillac Lyriq', 'Just after 11 a.m. on March 21, two employees at the General Motors factory in Spring Hill took a brief drive with rare fanfare.  Hype music blared as the workers steered an all-electric Cadillac Lyriq from the end of the production line through a gateway made of LED screens that shouted ""Made In Tennessee.""  As of Monday, General Motors Co. (NYSE: GM) officially began production of a luxury SUV that aims to propel the 113-year-old automaker to the front of an industry-wide race —\xa0led by pacesetter Tesla Inc. (Nasdaq: TSLA), the world\'s most valuable car company —\xa0to make vehicles that run on batteries.', 'Global lithium-ion battery capacity may rise five-fold by 2030 - Wood Mackenzie', '""Electric vehicle market accounts for almost 80% of lithium-ion battery demand and high oil prices are supporting more markets to roll out zero-emission transportation policies, causing demand for lithium-ion battery to skyrocket,"" Wood Mackenzie consultant Jiayue Zheng said in a report.  U.S. carmakers Ford Motor Co and General Motors Co recently announced their EV expansion plans, with Ford set to launch seven electric models in Europe by 2024 and deepen its partnership with Volkswagen to produce a second EV for the European market.  Battery makers are responding to this rising demand with massive expansion plans, Wood Mackenzie said.', 'Ranking the Top 10 Electric Vehicle Stocks Heading Into Q2 2022', 'The electric vehicle market is growing rapidly, with several electric cars being released in the past few years. In this article, we will be looking at some of the top electric vehicle stocks and how they rank against each other. Electric vehicles are not just for greenies anymore. They have become a viable option for anyone who wants to drive their car and save money on gas. The automotive industry has been changing for decades now, with innovations coming out every year. The last decade has se']",73682640896,50.720001220703125,50.43000030517578,46.380001068115234,46.31999969482422,42.279998779296875,43.849998474121094,43.779998779296875
United States,Ford,F,"['UPDATE 1-S.Africa two-thirds of way to $100 bln investment goal -president', ""South Africa is two-thirds of the way to reaching a five-year, $100 billion investment target, President Cyril Ramaphosa said on Thursday as he sought to drum up further backing for the pandemic hobbled economy.  Ramaphosa set the goal soon after coming to power in 2018 in a bid to revitalise Africa's most developed economy following repeated recessions and years of anaemic growth.  The global pandemic, which temporarily shuttered swathes of the economy and helped push unemployment rates to record levels, has complicated those efforts."", 'Tesla Stock Vs. BYD Stock: Tesla Soars As Berlin Deliveries Start', 'Tesla and BYD Co. are both fast-growing EV giants.  While a lot of attention falls on startups such as Rivian Automotive, Lucid, Nio, Xpeng and Li Auto, as well as traditional automakers pushing into EVs, such as General Motors and Ford Motor, Tesla and BYD are setting the pace.  Tesla Berlin is about to begin deliveries with Tesla Austin also gearing up.', 'UPDATE 3-Renault suspends Moscow plant, adjusts 2022 outlook', ""Renault SA, the Western carmaker most exposed to the Russian market, said on Wednesday it would suspend operations at its plant in Moscow while it assesses options on its majority stake in Avtovaz , the country's No. 1 carmaker.  The move came amid mounting pressure over the French company's continued presence in Russia since the country invaded Ukraine.  Ukraine's foreign minister, Dmytro Kuleba, has called for a global boycott of Renault."", 'Electric Vehicle Checkpoint: Will the Apple Car Be a Porsche?', 'See the latest news for the top stocks in the electric vehicle space including Ford, Tesla, General Motors, Rivian, and more.', 'These Are The 5 Best EV Stocks To Buy And Watch Now', 'EV stocks have multiplied in Tesla’s wake and as electric cars look to go mainstream. Here are the top-rated electric vehicle makers.', 'UPDATE 3-VW plans to open Spanish battery plant near Valencia in 2026', 'Volkswagen has picked a site near Valencia for a planned battery cell plant in Spain, which could include U.S. carmaker Ford as a customer or partner, but the project depends on receiving government funds, it said on Wednesday.  The German carmaker aims to begin series production at the 40 gigawatt-hour (GWh) plant by 2026, meaning construction would need to start this year.', 'The Zacks Analyst Blog Highlights Ford, General Motors, Honda and Tesla', 'Ford, General Motors, Honda and Tesla have been included in this Analyst Blog.', 'Why Are Tesla, Volkswagen And Nio Scrambling For Graphite?', 'The electric vehicle boom is well underway, and one crucial material could surge by as much as 4000% as demand continues to climb', 'Maserati exec: ‘We’ve made dual investments’ in electric and gas-powered vehicles', 'Maserati Americas Head Bill Peffer joins Yahoo Finance Live to discuss the latest Maserati Grecale mid-size SUV, EV product development, and supply chain forecasts.', 'Why Ford Stock Is Popping', 'What happened After taking a hit on Monday on reports that the global semiconductor shortage and other crimps in the supply chain are forcing it to idle two automotive plants in Germany, Ford Motor Company (NYSE: F) stock is bouncing right back here on Tuesday -- up 2.']",71636033536,18.350000381469727,18.010000228881836,16.950000762939453,18.100000381469727,16.3700008392334,16.579999923706055,16.68000030517578
Germany,BMW,BMW.DE,No data!,66793934199,93.33000183105469,94.05000305175781,91.62000274658203,80.55999755859375,76.19999694824219,78.4000015258789,78.26000213623047
Netherlands,Stellantis,STLA,"[""Maserati's first electric SUV is here"", ""Luxury Italian automaker Maserati finally offered up a taste, a primi piatti if you will, of its coming electric future. Coming in 2023 will be the all-electric Grecale Folgore, Maserati's first all-electric car."", 'Stellantis and LG Energy Solution to Invest Over $5 Billion CAD in Joint Venture for First Large-scale Lithium-ion Battery Production Plant in Canada', 'Joint venture company to become first large-scale, domestic, electric-vehicle battery manufacturing facility in Canada', 'Jeep® Brand Acknowledges the Sunset Chasers, Adrenaline Junkies, Nature Lovers, Athletes and More in New Marketing Campaign for Grand Cherokee', '""Made for What You\'re Made Of"" marketing campaign launches across television and Jeep® brand social media channels', 'Stellantis Fires Up EV Rivalry With Tesla', ""Stellantis NV (NYSE: STLA), Mercedes-Benz Group AG (OTC: DMLRY), and TotalEnergies SE (NYSE: TTE) joint venture Automotive Cells Company looked to build an EV battery plant in Italy. The plant would involve an investment of over €7 billion, Reuters reports The partners aimed to increase its industrial capacity to at least 120-gigawatt hours (GWh) by 2030. ACC looked to produce batteries for over 2.5 million vehicles per year by 2030. Tesla Inc's (NASDAQ: TSLA) Berlin plant aimed for an eventual"", 'UPDATE 3-LG Energy Solution to set up EV battery JV with Stellantis in Canada', 'South Korean battery giant LG Energy Solution Ltd (LGES) said on Wednesday it plans to invest $1.5 billion to set up a joint venture with Stellantis NV in Canada.  LGES owns 51% of the joint venture, tentatively named ""LGES-STLA JV"" and Stellantis owns 49%, LGES said in a regulatory filing.', 'LG Energy Solution to set up EV battery JV with Stellantis in Canada', 'SEOUL (Reuters) -South Korean battery giant LG Energy Solution Ltd (LGES) said on Wednesday it plans to invest $1.5 billion to set up a joint venture with Stellantis NV in Canada.  LGES owns 51% of the joint venture, tentatively named ""LGES-STLA JV"" and Stellantis owns 49%, LGES said in a regulatory filing.', 'CORRECTED-UPDATE 2-Stellantis, Mercedes battery cell JV to build plant in Italy', 'Automotive Cells Company (ACC), a joint venture between Stellantis, Mercedes-Benz and TotalEnergies, plans to build a battery plant in Italy, the latest move to boost capacity to meet demand for electric vehicles.  ACC will convert an existing Stellantis plant in Termoli, in southern Italy, into a battery facility as agreed in a March 21 memorandum of understanding with Italian authorities.  It has not provided details on the investment, but said on March 11 the goal was to produce batteries for more than 2.5 million vehicles per year by 2030.', ""Stellantis' battery plans take shape in Italy, Canada"", ""MILAN/OTTAWA (Reuters) -Stellantis took significant steps in its battery production plans in Europe and North America on Wednesday as carmakers race to meet rising demand for electric vehicles.  The company said its Automotive Cells Company (ACC) joint venture with Mercedes-Benz and TotalEnergies would build a battery plant in Italy and boost its capacity in Europe.  Separately, South Korea's LG Energy Solution (LGES) said it would invest $1.48 billion to set up a joint venture with Stellantis to produce batteries in Canada."", 'Stellantis Affirms Commitment to Italy with Automotive Cells Company’s (ACC) Planned Battery Plant Investment', 'Stellantis Affirms Commitment to Italy with Automotive Cells Company’s (ACC) Planned Battery Plant Investment ACC intends to build a third production site at the Stellantis facility in Termoli, ItalyPartners to accelerate ACC development with an objective of at least 120 gigawatt hours of cell capacity by 2030 AMSTERDAM, March 23, 2022 – Together with its partners, Stellantis supports Automotive Cells Company’s (ACC) growth plans as it intends to transform Stellantis’ existing Termoli plant in I', 'Maserati exec: ‘We’ve made dual investments’ in electric and gas-powered vehicles', 'Maserati Americas Head Bill Peffer joins Yahoo Finance Live to discuss the latest Maserati Grecale mid-size SUV, EV product development, and supply chain forecasts.']",58517344256,19.649999618530273,19.670000076293945,19.170000076293945,17.219999313354492,15.970000267028809,16.65999984741211,15.8100004196167
Japan,Honda,HMC,"[""Tesla's Berlin Gigafactory Debuts German-Made Model Y"", ""Tesla's (TSLA) European footprint may skyrocket when Giga Berlin hits full capacity of 500,000 electric vehicles per year."", 'The Zacks Analyst Blog Highlights Ford, General Motors, Honda and Tesla', 'Ford, General Motors, Honda and Tesla have been included in this Analyst Blog.', 'New Honda dealership planned for Cleveland area', 'A new Honda dealership is coming to an empty lot in Bedford, Ohio.  Schematics submitted to the Bedford Building Department show the Honda (HMC: NYSE) dealership will be constructed near the corner of Bartlett and Rockside roads, next to the empty Meadowbrook Market Square Shopping Center Plaza.  The property is big enough that a second dealership could be built on the site, which is more than 610,000 square feet.', ""EV Roundup: Ford (F) and Honda's (HMC) Electrification Strides Make News"", 'While Ford (F) promises seven new EVs lined up for Europe by 2024, Honda (HMC) is set to refurbish its plants in Alliston to manufacture hybrid electric cars.', ""Photos: Inside Honda's new $124 million Central Ohio wind tunnel"", 'Honda engineer Mike Unger sounds like a kid at play when he talks about the automaker’s new $124 million wind tunnel.', ""Volkswagen exec on the electric VW bus: 'I’ve never seen this much demand for a vehicle'"", ""Volkswagen Group of America President and CEO Scott Keogh joins Yahoo Finance Live to discuss the automaker's investment in North American manufacturing, the chip shortage, the electric VW bus, and what's driving the transition to electric vehicles."", ""Toyota's (TM) North American Arm to Invest $27M in California"", ""Toyota's (TM) North American division announces $27M investment in California's TABC to expand production capabilities."", 'Fed Trying to Play Catch-Up (Capital Market Research) (Weekly Market Outlook)', '', ""Honda's (HMC) to Invest $1.38B in CR-V Hybrid Model in Canada"", 'Honda (HMC) will invest $1.38 billion in its Canada plants to manufacture the next generation 2023 CR-V Hybrid model to make a mark in the EV domain.', 'Honda to spend over $1 billion to upgrade Ontario factories', ""The investment would make the facility the biggest plant in the region for the 2023 CR-V Hybrid crossover and includes equal grants of C$131.6 million from the governments of Canada and Ontario, Honda of Canada Mfg said on Wednesday.  Honda's announcement comes at a time when automakers globally have sharpened their focus on producing environmentally friendly vehicles in response to rising demand.  Prime Minister Justin Trudeau's government sees the auto sector as a key part of its efforts to lower national carbon footprint.""]",51654283264,30.5,31.969999313354492,30.770000457763672,29.610000610351562,27.270000457763672,28.280000686645508,28.3700008392334
