country,Name,Symbol,Sentiments,marketcap,"Stock Price (6wk ago),","Stock Price (5wk ago),","Stock Price (4wk ago),","Stock Price (3wk ago),","Stock Price (2wk ago),","Stock Price (1wk ago),","Stock Price (0wk ago),"
United States,Tesla,TSLA,"['Tesla opens first European gigafactory in Berlin', ""Yahoo Finance's Pras Subramanian joins the Live show to discuss Tesla opening its first European gigafactory in Berlin."", 'Electric vehicles: Cadillac kicks of Lyriq production in Tennessee', ""Yahoo Finance's Pras Subramanian details productions on the Cadillac Lyriq EV beginning in the vehicle manufacturer's Tennessee plants, General Motors' summer delivery date, the production figures GM is expecting, and GM's stake in Cruise Automations."", 'Tesla CEO Elon Musk tweets about ambitious ‘Master Plan Part 3’', ""Yahoo Finance's Pras Subamanian joins the Live show to discuss the outlook for Tesla as the company's CEO Elon Musk tweeted about 'Master Plan Part 3'."", ""Tesla's German factory opening is all about ‘mass industrialization’: Analyst"", ""Tesla CEO Elon Musk has given us more of a sneak peek into his upcoming 'Master Plan 3' for Tesla."", 'Elon Musk Wants Tesla to Be Much, Much Bigger', ""Based on the Tesla CEO's latest comments, these may still be early days for the electric car maker."", 'Smartphone Giant Xiaomi Beats Estimates After Holiday Boom', '(Bloomberg) -- Xiaomi Corp. posted a quarterly profit that beat analysts’ estimates after the Chinese smartphone giant defied component shortages to boost sales during the busy holiday season.Most Read from BloombergChina Jet’s Nosedive From 29,000 Feet Baffles Crash SpecialistsWhere Mornings Would Get Darker Under Permanent Daylight Savings TimeXi Risks Leaving China Isolated by Backing Putin to Counter U.S.China Plane Crash Update: Wreckage Found, Airline Grounds JetsChina Eastern Boeing 737 J', 'Dow Jones Futures: Stock Market Falls On Powell Comments; 6 Top Stocks To Buy And Watch', ""Dow Jones futures were higher Tuesday after Monday's stock market fall. Fed Chief Powell said that inflation is too high."", 'Elon Musk Opens Tesla’s First European Factory Outside Berlin', '(Bloomberg) -- Almost 19 years after its founding, Tesla Inc. has a car factory network that spans the globe.Most Read from BloombergChina Jet’s Nosedive From 29,000 Feet Baffles Crash SpecialistsWhere Mornings Would Get Darker Under Permanent Daylight Savings TimeXi Risks Leaving China Isolated by Backing Putin to Counter U.S.China Plane Crash Update: Wreckage Found, Airline Grounds JetsChina Eastern Boeing 737 Jet Crashes With More Than 130 on BoardThe leading electric-vehicle maker officially', 'Tesla Stock Extends Win Streak As First Berlin Gigafactory Deliveries Set To Roll', 'Tesla will deliver the first cars made from its Berlin gigafactory Tuesday following approval from German authorities earlier this month.', 'Are Ford And GM Cars About to Get Cheaper?', 'According to Ford and GM, some dealers are charging desperate buyers significantly more than the sticker price.  In a letter to dealers, Ford stated, “It has come to our attention that a limited number of dealerships are interacting with customers in a manner that is negatively impacting customer satisfaction and damaging to the Ford Motor Company brand and Dealer Body reputation.”  Dealers who continue to engage in these practices could lose the right to sell Ford’s upcoming F-150 Lightning electric pickup.']",911205269504,907.3400268554688,875.760009765625,error,870.4299926757812,804.5800170898438,766.3699951171875,921.1599731445312
Japan,Toyota,TM,"['Toyota Pauses Production. Covid-19, Not Chips, Is the Latest Issue.', 'The car maker said it was taking some downtime due to parts shortages caused by new restrictions meant to fight the pandemic in Asia.', 'UPDATE 2-Toyota plans 17% cut in global production in April', 'Toyota Motor Corp is cutting its global production target in April to 750,000 vehicles, down 150,000 from an earlier plan, the automaker said on Thursday, as a semiconductor shortage and the COVID-19 pandemic bite into its plans.  The news comes about a week after Toyota said it would scale back domestic production by up to 20% during the months of April, May and June to ease the strain on suppliers battling shortages of chips and other parts.  Average monthly global production for the period from April to June would be about 800,000, Toyota added.', ""Toyota Tsusho Corporation -- Moody's affirms Toyota Tsusho's A3 ratings; outlook remains stable"", ""Rating Action: Moody's affirms Toyota Tsusho's A3 ratings; outlook remains stableGlobal Credit Research - 17 Mar 2022Tokyo, March 17, 2022 -- Moody's Japan K.K. has affirmed Toyota Tsusho Corporation's A3 issuer and senior unsecured ratings.  The outlook also incorporates the agency's expectation that the company will increase its investments while maintaining a sufficient cushion in its credit metrics.Moody's would consider a rating upgrade if Toyota Tsusho successfully diversifies its portfolio, reducing its reliance on the automotive sector without increasing its business risks; significantly reduces debt with its free cash flow; maintains its FFO/debt at above 18%; and reduces its debt/capitalization below 50% on a sustained basis.Downward rating pressure would emerge if Toyota Tsusho's returns and capital structure deteriorate significantly because of weakening market conditions, especially related to Toyota Motor's sales; its investments in new businesses lead to increased earnings volatility; its FFO/debt drops below 10%; or its debt/capitalization remains above 65% on a sustained basis.The principal methodology used in these ratings was Trading Companies (Japanese) published in July 2016 and available at https://www.moodys.com/researchdocumentcontentpage.aspx?docid=PBC_191144."", 'Toyota plans 17% cut in global production in April', 'TOKYO (Reuters) -Toyota Motor Corp is cutting its global production target in April to 750,000 vehicles, down 150,000 from an earlier plan, the automaker said on Thursday, as a semiconductor shortage and the COVID-19 pandemic bite into its plans.  The news comes about a week after Toyota said it would scale back domestic production by up to 20% during the months of April, May and June to ease the strain on suppliers battling shortages of chips and other parts.  Average monthly global production for the period from April to June would be about 800,000, Toyota added.', ""$27 Million Investment to Expand Toyota's Long Beach Manufacturing Capabilities"", ""For 50 years, TABC has led the way for Toyota's manufacturing operations in North America. Today, Toyota Motor North America (TMNA) announced a $27 million investment in the operation to support an increase in its production capabilities."", 'Yahoo Finance Presents: U.S. Secretary of Transportation Pete Buttigieg', 'Yahoo Finance’s Editor-at-Large Brian Sozzi talks with U.S. Secretary of Transportation Pete Buttigieg about the new Freight Logistics Optimization Works (FLOW) initiative aimed at data sharing as well as the topics of supply chain issues and inflation.', 'Toyota (TM) Halts Operations in China Amid New COVID Lockdown', 'Toyota (TM) orders suspension of operations in China until further notice in response to government-imposed lockdown and restrictions.', 'China Closes Two Manufacturing Hubs as Covid-19 Cases Jump', 'China closed manufacturing hubs Shenzen and Changchun as Covid-19 cases jump, halting local output from companies including Toyota and Foxconn', 'With Toyota as partner, Mazda hopes to jump-start U.S. market', ""A decade after Mazda Motor's cars disappeared from Ford Motor's factory floors in Michigan, the Japanese automaker is once again building in the United States - this time with compatriot Toyota Motor.  When the first Mazda CX-50 crossovers rolled off the assembly line at the joint Alabama plant in January, they were packed with efficiencies hammered out by the two automakers, both known for their cost-cutting smarts and manufacturing prowess.  For Mazda, restarting local production with help from Toyota's deep local knowledge and reputation for reliability is the game-changer it hopes will jump-start sales in the world's second-biggest market.""]",274258280448,197.24000549316406,188.97000122070312,error,182.9499969482422,160.1699981689453,161.08999633789062,171.8000030517578
Germany,Volkswagen,VOW3.DE,"['U.S. companies pull back from business dealings in Russia', ""Yahoo Finance's Julie Hyman and Brian Sozzi discuss the list of American companies that are reducing their exposure to Russia amid the invasion of Ukraine."", 'Burnt-Out Ship Carrying Porsches and Lamborghinis Sinks in Rough Seas', '(Bloomberg) -- The cargo ship that caught fire in the Atlantic while transporting roughly 4,000 Volkswagen AG vehicles to the U.S. has sunk despite efforts to tow it to safety.Most Read from BloombergTeen Who Tracked Elon Musk’s Jet Is Now Chasing Russian TycoonsRussia Steps Up Aerial Campaign Against Cities: Ukraine UpdateChina Spy Think Tank Advising Xi Predicts Russia Sanctions Will BackfireMicrosoft Says Son of CEO Satya Nadella Has Died at 26Belarus Preparing to Send Soldiers, Report Says:', 'Carmakers hit the brakes on Russia as sanctions bite', 'Global auto and truck makers have joined a growing list of companies looking to exit Russia as international sanctions aimed at crippling Moscow’s economy start to bite.', 'Volkswagen warns of production cuts as Ukraine crisis hits suppliers', ""Europe's largest carmaker Volkswagen on Tuesday warned of production cuts at some of its plants including the one in Wolfsburg as Ukraine-based suppliers have been facing difficulties delivering after Russia's invasion.  The company said it would likely be unable to produce at its Wolfsburg plant in the week of March 14 as a result, adding the factory would already produce less from the week of March 6.  The group also said it had temporarily halted production of Volkswagen brand electric vehicles at its Zwickau and Dresden plants this week and could not rule out further production adjustments."", ""Volkswagen's Skoda limits some output due to Ukraine, production in Russia still running"", 'Czech carmaker Skoda Auto, part of Volkswagen, will limit some production at its domestic plants due to supply shortages after Russia\'s invasion of Ukraine, while it said its Russian operations were still running.  ""Due to the current situation in Ukraine, Skoda Auto is facing critical supply shortages of parts from several local suppliers that have effect on some of our models,"" it said.  Skoda said its supply chain consisted of a number of suppliers in western Ukraine.', '4 Supercharged Electric Vehicle Stocks to Buy in 2022 and Beyond', 'Electrification of transport is an unstoppable trend.  President Joe Biden wants to make 50% of all vehicle sales to be electric by 2030.  Top automakers have also announced intentions to increase their electric vehicle (EV) sales in sync with this target.', 'VW Keeps Porsche IPO on Table Amid Market Volatility', '(Bloomberg) -- Volkswagen AG said it will continue to explore an initial public offering of the German manufacturer’s Porsche sportscar brand as markets are roiled by Russia’s invasion of Ukraine.Most Read from BloombergTaiwan to Join in U.S.-Led Sanctions on Russia: Ukraine UpdateRussia Invasion of Ukraine Ignites European Security CrisisRussia Hits Airfields; Kyiv Imposes Martial Law: Ukraine UpdateKyiv Accuses Russia of Targeting Civilians: Ukraine UpdateStocks Rise as Oil Pares Gain After Bi', 'UK car production plummets to 13-year low in January', 'Car production sank to its lowest January in a decade as the semiconductor shortage continued to cause disruption.', 'Porsche could IPO in fourth quarter, Volkswagen CFO says', 'FRANKFURT (Reuters) -Porsche\'s potential initial public offering (IPO) could happen as soon as the fourth quarter of 2022, the finance chief of the luxury carmaker\'s owner Volkswagen said on Friday, providing further details of what could become a record listing.  Volkswagen\'s rationale for the IPO partly rests on hopes that it will remove some of the carmaker\'s conglomerate discount and raise its shares, which have underperformed the European sector over the past 12 months.  ""There is no guarantee the market value of (Porsche) will translate into the VW share price unless VW addresses more structural issues of brand/product complexity,"" analysts at Jefferies wrote.', 'Volkswagen, top shareholder strike framework deal for Porsche IPO', ""FRANKFURT (Reuters) -Volkswagen and its top shareholder Porsche SE on Thursday fleshed out details of a possible listing of luxury carmaker Porsche, edging closer to what could become one of the world's largest stock market debuts.  In case of an initial public offering, the share capital of Porsche AG would be equally split into preferred and ordinary shares and up to a quarter of the preferred stock would be placed on the market, Volkswagen said, confirming an earlier Reuters story.  This implies a potential placement and free float of up to 12.5% of Porsche AG's total share capital, or more than 10 billion euros ($11.2 billion) when using a valuation of around 90 billion.""]",124395549741,175.94000244140625,182.6999969482422,174.97999572753906,178.0399932861328,136.74000549316406,150.0,153.75999450683594
China,BYD,002594.SZ,No data!,107779133682,244.39999389648438,231.97999572753906,241.88999938964844,249.60000610351562,223.61000061035156,219.0,245.3800048828125
Germany,Daimler,DAI.DE,No data!,85824249620,67.55999755859375,74.30999755859375,74.02999877929688,70.16999816894531,57.38999938964844,60.7599983215332,63.31999969482422
United States,General Motors,GM,"['Super luxury brands like Lamborghini and Bentley will be successful EVs: VW US chief', 'Here comes the age of electric for super luxury brands such as Bentley and Lamborghini.', ""Volkswagen exec on the electric VW bus: 'I’ve never seen this much demand for a vehicle'"", ""Volkswagen Group of America President and CEO Scott Keogh joins Yahoo Finance Live to discuss the automaker's investment in North American manufacturing, the chip shortage, the electric VW bus, and what's driving the transition to electric vehicles."", 'The Funded: GM is consolidating its control of Cruise via its $2.1B to buyout of SoftBank', ""GM will own 80% of the self-driving technology developer after the purchase, reversing Cruise's prior strategy of diversifying its ownership."", 'Cadillac LYRIQ production kicks off in Spring Hill, Tenn.', 'It looks like Cadillac’s EV transformation is nearly here, as it confirmed it will begin production of its LYRIQ EV SUV next week on March 21, at its newly reconfigured plant in Spring Hill, Tennessee.', ""GM president: 'We never have one answer' for supply chain risks"", 'General Motors Co President Mark Reuss said Monday the automaker is confident in its 2022 outlook and its plans to accelerate the launch of a new Cadillac electric vehicle, despite intensifying global supply chain risks.  The geopolitical risks posed to automotive supply chains by the war in Ukraine are real, Reuss said during a conference call.  ""We are not new to this game,"" Reuss said.', 'Axalta Mobility named a 2021 General Motors Supplier of the Year', 'Axalta - 2021 GM Supplier of the Year Axalta was recently named a 2021 GM Supplier of the Year in the paint category. CLINTON TOWNSHIP, Mich., March 21, 2022 (GLOBE NEWSWIRE) -- Axalta (NYSE: AXTA) Mobility, a leading global coatings supplier that delivers world-class color and superior protection to vehicle bodies, was recognized by General Motors as a 2021 Supplier of the Year in the paint category. Last week, GM celebrated honorees at its 30th annual Supplier of the Year awards ceremony in Ph', 'General Motors to buy SoftBank’s stake in Cruise, stock slides', ""Yahoo Finance Live's Julie Hyman and Brian Sozzi discuss reports of General Motors buying SoftBank’s stake in Cruise."", 'General Motors Stuck in Major Downtrend', 'The automaker completed a double top breakdown in February when it sliced through the August 2021 low.']",73682640896,50.709999084472656,48.400001525878906,error,46.720001220703125,39.83000183105469,40.83000183105469,43.61000061035156
United States,Ford,F,"['Super luxury brands like Lamborghini and Bentley will be successful EVs: VW US chief', 'Here comes the age of electric for super luxury brands such as Bentley and Lamborghini.', 'Got $20? Two Discounted EV Stocks Worth Considering Now', ""Share prices of Nio (NYSE: NIO) and Ford (NYSE: F) have been rocked in recent weeks as geopolitical tensions clash with growth concerns and rising interest rates.  Both stocks are now under $20 compared to all-time intraday highs of $64.60 for Nio and $24.37 for Ford.  Here's why Nio and Ford are two electric vehicle (EV) stocks worth considering now."", 'Are Ford And GM Cars About to Get Cheaper?', 'According to Ford and GM, some dealers are charging desperate buyers significantly more than the sticker price.  In a letter to dealers, Ford stated, “It has come to our attention that a limited number of dealerships are interacting with customers in a manner that is negatively impacting customer satisfaction and damaging to the Ford Motor Company brand and Dealer Body reputation.”  Dealers who continue to engage in these practices could lose the right to sell Ford’s upcoming F-150 Lightning electric pickup.', 'Cold War 2.0? The Global Economic Impact of Sanctions Against Russia', 'The consequences of harsh economic sanctions against Russia are already being felt across the globe. WSJ’s Greg Ip joins other experts to explain the significance of what has happened so far and how the conflict might transform the global economy. Photo Illustration: Alexander Hotz', 'Kiersten Robinson Selected for Ford Blue Operating Position; Jennifer Waldo, Christopher Smith Join as New Ford Leaders', 'DEARBORN, Mich., March 21, 2022--Ford is further strengthening its leadership team – hiring two highly regarded executives and giving a significant global operating role to an accomplished longtime senior colleague – as it continues to execute the customer focused Ford+ plan for growth and value creation.', 'UPDATE 1-Ford says European production hit by chip shortage, Ukraine conflict', 'Ford Motor Co said on Monday vehicle production and orders in Europe have been hit by the global semiconductor shortage as well as the conflict in Ukraine.  The U.S. automaker said it will idle its German plants in Saarlouis and Cologne, mostly due to the global chip shortage.  Ford said it has orders for both products that take it beyond September and that existing orders will be fulfilled.', 'Ford says European production hit by chip shortage, Ukraine conflict', ""The U.S. automaker said it will idle its German plants in Saarlouis and Cologne, mostly due to the global chip shortage.  Ford said it has orders for both products that take it beyond September and that existing orders will be fulfilled.  Russia's invasion of Ukraine also has caused parts shortages at a Volkswagen plant in Poland that builds Ford's Tourneo Connect vehicle, leading to a temporary halt of production, Ford said."", 'Tesla Stock Vs. BYD Stock: Tesla Berlin Deliveries To Start As EV Rival Sets Huge Target', ""Tesla stock vs. BYD stock: China's BYD is gaining ground on fast-growing Tesla. Here's a look at the EV giants' fundamentals and technicals.""]",71636033536,17.889999389648438,17.459999084472656,error,17.559999465942383,15.970000267028809,15.739999771118164,16.479999542236328
Germany,BMW,BMW.DE,No data!,66793934199,89.86000061035156,92.58999633789062,92.29000091552734,86.55999755859375,70.5199966430664,74.43000030517578,77.44000244140625
Netherlands,Stellantis,STLA,"['Maserati unveils new SUV Grecale, full electric version expected next year', ""Maserati took the wraps off its new Grecale sports utility vehicle (SUV) on Tuesday, marking another step in the promised expansion of the automaker's range as part of a turnaround strategy.  Initially planned for November last year, the launch of the new model had been delayed due to a global chip shortage.  Maserati, the luxury brand of Stellantis, said the Grecale would be available in the second half of this year in three versions, two 300- and 330-horse-powered four-cylinder mild hybrids, as well as a high performance 530-horse powered petrol V6 capable of a top speed of 285 kilometres per hour."", 'Stellantis Design Celebrates 10 Years of Drive for Design Contest', ""The Stellantis Product Design Office is celebrating 10 years of its annual Drive for Design contest and it's upping the ante for the top 10 contest winners. For the first time, as part of the 10-year celebration, all top 10 winners will be invited to participate in a virtual networking session with Head of Ram Truck and Mopar Design Mark Trostle and professional Stellantis designers who have created some of the most iconic vehicles on the road today."", 'How a New Jeep Factory In Detroit Turned Into a Civil Rights Fight', '(Bloomberg) -- When plans for a new Jeep factory on Detroit’s east side were announced in 2019 — the city’s first assembly plant in nearly 30 years — it was celebrated as an economic boon for the city, bringing 5,000 jobs and an influx of investment to long-neglected neighborhoods. Six years after filing for bankruptcy, the city was “turning a corner” and becoming more business friendly, The Detroit News declared.Most Read from BloombergChina Eastern Boeing 737 Jet Crashes With More Than 130 on', 'Stellantis, LG Energy\xa0Pick Ontario for Battery Plant', '(Bloomberg) -- LG Energy Solution and Stellantis NV will build their new planned battery plant in Ontario, Canada, according to a person familiar with the matter, with an official announcement likely on March 23. Most Read from BloombergUkraine Update: Mariupol Refuses Russia Ultimatum; Kyiv Mall HitUkraine Update: Zelenskiy Says Some Opposition Parties SuspendedHong Kong Signals Covid Shift by Cutting Flight Bans, QuarantineRussia Uses Hypersonic Weapons as War Enters Bloodier PhaseWhere Mornin', 'Stellantis, LG Energy Solution Eye New EV Battery Plant In Ontario: Bloomberg', 'Stellantis NV (NYSE: STLA) and LG Energy Solution Ltd look to build their new battery plant in Ontario, Canada, Bloomberg reports. The Canadian government’s incentives for clean-energy businesses served as a key driver in attracting the companies to the country. Also Read: Stellantis CEO Looks To Catch Up With Tesla In Coming Years, Russia-Ukraine Crisis Could Dampen EV Ambitions Of Tesla, Ford And Others: FT, Stellantis Divulges Its EV Ambitions Stellantis and LG Energy previously shared their', 'Orders Now Open for New 2022 (Jeep®) RED Renegade Special Edition', 'The 2022 Jeep® Renegade – known for its best-in-class off-road capability – is getting a bold appearance to match its valiant mission to donate funds that help fight global health emergencies. The new (Jeep)RED Renegade special edition, now available for order in the U.S., is part of a multi-brand Stellantis partnership with the (RED)® campaign to support the critical work of the Global Fund over the next three years.', ""UPDATE 1-Stellantis to halt Italy's Melfi plant again due to chip shortage -union"", 'Carmaker Stellantis will again stop operations at its Melfi plant in Italy for seven working days due to semiconductor shortages, a union representative said on Thursday.  Operations will be stopped on Saturday and restarted on March 28 due to a lack of engine control units due to the chip shortage, said Marco Lomio, local head of UILM metalworkers union.  A spokesman for Stellantis said: ""From the beginning of the crisis, we drive our activity daily, plant by plant ...taking into account the different situations we are facing.""', ""Stellantis to halt Italy's Melfi plant again due to chip shortage -union"", 'MILAN (Reuters) -Carmaker Stellantis will again stop operations at its Melfi plant in Italy for seven working days due to semiconductor shortages, a union representative said on Thursday.  Operations will be stopped on Saturday and restarted on March 28 due to a lack of engine control units due to the chip shortage, said Marco Lomio, local head of UILM metalworkers union.  A spokesman for Stellantis said: ""From the beginning of the crisis, we drive our activity daily, plant by plant ...taking into account the different situations we are facing.""', 'The Teaser Trail to Easter Jeep® Safari 2022 - Trail Marker 3', ""Ever wonder what blending two mighty off-roaders like the Jeep® Wrangler and Jeep Gladiator might look like? What if a truck dared to be more like an SUV to increase its departure angle? The latest Jeep concept heading to this year's Easter Jeep Safari reinvents what the ultimate terrain tackler dares to be, delivering an abundance of four-wheeling confidence and a pinch of open-air freedom."", 'REFILE-Stellantis launches venture capital fund with initial 300 mln euro investment', ""Carmaker Stellantis said on Wednesday it launched its first venture capital fund aimed at investing in startup companies developing technologies that could be deployed within the automotive and mobility industries.  The fund, called Stellantis Ventures, will initially invest 300 million euros ($330 million) both in early- and later-stage startups, the company said in a statement.  The decision is part of Stellantis' wider strategy spelled out earlier this month in the company's first business plan.""]",58517344256,18.68000030517578,18.399999618530273,error,18.280000686645508,13.789999961853027,15.15999984741211,16.190000534057617
Japan,Honda,HMC,"[""Volkswagen exec on the electric VW bus: 'I’ve never seen this much demand for a vehicle'"", ""Volkswagen Group of America President and CEO Scott Keogh joins Yahoo Finance Live to discuss the automaker's investment in North American manufacturing, the chip shortage, the electric VW bus, and what's driving the transition to electric vehicles."", ""Photos: Inside Honda's new $124 million Central Ohio wind tunnel"", 'Honda engineer Mike Unger sounds like a kid at play when he talks about the automaker’s new $124 million wind tunnel.', ""Toyota's (TM) North American Arm to Invest $27M in California"", ""Toyota's (TM) North American division announces $27M investment in California's TABC to expand production capabilities."", ""Honda's (HMC) to Invest $1.38B in CR-V Hybrid Model in Canada"", 'Honda (HMC) will invest $1.38 billion in its Canada plants to manufacture the next generation 2023 CR-V Hybrid model to make a mark in the EV domain.', 'Honda to spend over $1 billion to upgrade Ontario factories', ""The investment would make the facility the biggest plant in the region for the 2023 CR-V Hybrid crossover and includes equal grants of C$131.6 million from the governments of Canada and Ontario, Honda of Canada Mfg said on Wednesday.  Honda's announcement comes at a time when automakers globally have sharpened their focus on producing environmentally friendly vehicles in response to rising demand.  Prime Minister Justin Trudeau's government sees the auto sector as a key part of its efforts to lower national carbon footprint."", 'China’s Covid-19 Lockdown Is the Wrong Risk at the Wrong Time', 'The lockdown of Shenzhen, China’s tech hub, has wider global implications that are already coming into play.', ""These were Central Ohio's best-selling vehicles in 2021"", 'While pickup trucks rule sales nationally, that American vehicle of choice does not have the same hold on the Columbus market.', 'Japan’s Economy Needs More Spending Aid, Abenomics Advocate Says', '(Bloomberg) -- Japan needs fresh spending of about 10 trillion yen ($87 billion) to shore up its fragile economy as Russia’s invasion of Ukraine fuels global uncertainties, an economic adviser to former premier Shinzo Abe said. Most Read from BloombergChina Warns U.S. Over Forming Pacific NATO, Backing TaiwanOwners Fear Planes ‘Are Gone Forever’ After Russia Shields Them From SeizureBiden to Sign Crypto Order as Firms Face Sanctions PressureU.S. and U.K. Poised for Ban on Imports of Russian Oil', 'Honda leads Columbus-area auto sales in 2021', 'It isn’t a surprise that Honda Motor Co. dominates local auto sales, but it may be a surprise by how much.', ""Honda Aircraft's Michimasa Fujino is retiring, but watch what he does next"", 'After he leaves Honda Aircraft Co. on April 1, the creator of the HondaJet will take a break. Then he just might turn back the hands of time.']",51654283264,29.549999237060547,30.65999984741211,error,30.559999465942383,26.68000030517578,26.65999984741211,28.229999542236328
